Country Name,Country,year,GDP per Capita(USD)
France,FR,2016,37062.53357
France,FR,2017,38781.04949
France,FR,2018,41592.7959
France,FR,2019,40578.64429
France,FR,2020,39037.12263
United Kingdom,GB,2011,42284.88449
United Kingdom,GB,2012,42686.80005
United Kingdom,GB,2013,43713.81412
United Kingdom,GB,2014,47787.2413
United Kingdom,GB,2015,45404.56777
United Kingdom,GB,2016,41499.5557
United Kingdom,GB,2017,40857.75558
United Kingdom,GB,2018,43646.95197
United Kingdom,GB,2019,43070.49836
United Kingdom,GB,2020,41059.16881
Greece,GR,2011,25483.88256
Greece,GR,2012,21912.99829
Greece,GR,2013,21787.78776
Greece,GR,2014,21616.71001
Greece,GR,2015,18083.87791
Greece,GR,2016,17923.96681
Greece,GR,2017,18582.08934
Greece,GR,2018,19756.99046
Greece,GR,2019,19133.75776
Greece,GR,2020,17647.23269
Croatia,HR,2011,14757.18034
Croatia,HR,2012,13401.65662
Croatia,HR,2013,13837.73164
Croatia,HR,2014,13762.37286
Croatia,HR,2015,11933.37738
Croatia,HR,2016,12527.73986
Croatia,HR,2017,13629.28959
Croatia,HR,2018,15227.5601
Croatia,HR,2019,15311.7669
Croatia,HR,2020,14132.48656
Iceland,IS,2011,47714.59223
Iceland,IS,2012,45995.54788
Iceland,IS,2013,49804.983
Iceland,IS,2014,54576.74481
Iceland,IS,2015,52951.68151
Iceland,IS,2016,61987.92636
Iceland,IS,2017,72010.14903
Iceland,IS,2018,74469.80406
Iceland,IS,2019,68941.46223
Iceland,IS,2020,59264.03409
Italy,IT,2011,38649.63948
Italy,IT,2012,35051.52127
Italy,IT,2013,35560.08141
Italy,IT,2014,35565.72138
Italy,IT,2015,30242.38614
Italy,IT,2016,30960.73151
Italy,IT,2017,32406.72032
Italy,IT,2018,34622.16967
Italy,IT,2019,33641.63375
Italy,IT,2020,31769.96587
Lithuania,LT,2011,14376.94786
Lithuania,LT,2012,14367.70942
Lithuania,LT,2013,15729.65247
Lithuania,LT,2014,16551.0182
Lithuania,LT,2015,14263.96458
Lithuania,LT,2016,15008.31324
Lithuania,LT,2017,16885.40739
Lithuania,LT,2018,19186.18128
Lithuania,LT,2019,19575.76848
Lithuania,LT,2020,20232.30204
Latvia,LV,2011,13338.96224
Latvia,LV,2012,13847.33794
Latvia,LV,2013,15007.49186
Latvia,LV,2014,15742.39134
Latvia,LV,2015,13786.4568
Latvia,LV,2016,14331.75159
Latvia,LV,2017,15695.11515
Latvia,LV,2018,17865.03109
Latvia,LV,2019,17926.84159
Latvia,LV,2020,17736.50375
Malta,MT,2011,23155.55479
Malta,MT,2012,22527.63676
Malta,MT,2013,24771.07658
Malta,MT,2014,26754.26845
Malta,MT,2015,24921.60368
Malta,MT,2016,25741.44606
Malta,MT,2017,28250.69777
Malta,MT,2018,30672.29224
Malta,MT,2019,30186.19596
Malta,MT,2020,28423.2002
Netherlands,NL,2011,54230.3129
Netherlands,NL,2012,50070.1416
Netherlands,NL,2013,52198.89756
Netherlands,NL,2014,52900.53742
Netherlands,NL,2015,45193.40322
Netherlands,NL,2016,46039.10593
Netherlands,NL,2017,48675.22234
Netherlands,NL,2018,53044.53244
Netherlands,NL,2019,52476.27325
Netherlands,NL,2020,52396.03221
Norway,NO,2011,100600.5624
Norway,NO,2012,101524.1419
Norway,NO,2013,102913.4508
Norway,NO,2014,97019.18275
Norway,NO,2015,74355.51586
Norway,NO,2016,70460.56053
Norway,NO,2017,75496.75406
Norway,NO,2018,82267.80932
Norway,NO,2019,75719.7529
Norway,NO,2020,67329.67779
Poland,PL,2011,13879.56099
Poland,PL,2012,13097.27085
Poland,PL,2013,13696.4663
Poland,PL,2014,14271.30585
Poland,PL,2015,12578.49547
Poland,PL,2016,12447.43959
Poland,PL,2017,13864.68176
Poland,PL,2018,15468.48222
Poland,PL,2019,15732.20313
Poland,PL,2020,15742.45373
Portugal,PT,2011,23217.2955
Portugal,PT,2012,20563.7136
Portugal,PT,2013,21653.19598
Portugal,PT,2014,22103.70097
Portugal,PT,2015,19250.10654
Portugal,PT,2016,19991.97249
Portugal,PT,2017,21490.42986
Portugal,PT,2018,23562.55452
Portugal,PT,2019,23330.81729
Portugal,PT,2020,22194.56611
Romania,RO,2011,9099.217539
Romania,RO,2012,8507.104775
Romania,RO,2013,9547.852151
Romania,RO,2014,10043.67745
Romania,RO,2015,8969.148921
Romania,RO,2016,9548.587403
Romania,RO,2017,10807.00917
Romania,RO,2018,12398.98198
Romania,RO,2019,12899.34611
Romania,RO,2020,12915.24305
Serbia,RS,2011,6809.159804
Serbia,RS,2012,6015.945228
Serbia,RS,2013,6755.073675
Serbia,RS,2014,6600.056809
Serbia,RS,2015,5588.980728
Serbia,RS,2016,5765.200762
Serbia,RS,2017,6292.543629
Serbia,RS,2018,7252.401858
Serbia,RS,2019,7417.203649
Serbia,RS,2020,7730.691746
Slovak Republic,SK,2011,18430.1298
Slovak Republic,SK,2012,17429.82975
Slovak Republic,SK,2013,18208.41759
Slovak Republic,SK,2014,18655.79011
Slovak Republic,SK,2015,16342.21626
Slovak Republic,SK,2016,16512.29299
Slovak Republic,SK,2017,17538.04858
Slovak Republic,SK,2018,19389.98216
Slovak Republic,SK,2019,19303.54566
Slovak Republic,SK,2020,19266.51357
Slovenia,SI,2011,25128.01504
Slovenia,SI,2012,22641.80512
Slovenia,SI,2013,23503.28249
Slovenia,SI,2014,24247.17332
Slovenia,SI,2015,20890.16643
Slovenia,SI,2016,21678.35947
Slovenia,SI,2017,23514.02546
Slovenia,SI,2018,26116.85636
Slovenia,SI,2019,25942.95477
Slovenia,SI,2020,25489.50023
Sweden,SE,2011,60755.75955
Sweden,SE,2012,58037.82132
Sweden,SE,2013,61126.9432
Sweden,SE,2014,60020.36046
Sweden,SE,2015,51545.48361
Sweden,SE,2016,51965.15715
Sweden,SE,2017,53791.50873
Sweden,SE,2018,54589.06039
Sweden,SE,2019,51939.42974
Sweden,SE,2020,52274.40879
Turkey,TR,2011,11420.55546
Turkey,TR,2012,11795.63346
Turkey,TR,2013,12614.78161
Turkey,TR,2014,12157.99043
Turkey,TR,2015,11006.27952
Turkey,TR,2016,10894.60338
Turkey,TR,2017,10589.66772
Turkey,TR,2018,9454.348443
Turkey,TR,2019,9121.515167
Turkey,TR,2020,8536.43332
